action,building,critical_flag,dba,grade,inspection_type,score,street,violation_code,violation_description,lat,long,address
Violations were cited in the following area(s).,78,Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,10,SPRING STREET,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",40.722455,-73.9976992,78 SPRING STREET NYC
Violations were cited in the following area(s).,78,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,10,SPRING STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.722455,-73.9976992,78 SPRING STREET NYC
Violations were cited in the following area(s).,78,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,4,SPRING STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.722455,-73.9976992,78 SPRING STREET NYC
Violations were cited in the following area(s).,665,Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,10,BROADWAY,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,40.727212,-73.995488,665 BROADWAY NYC
Violations were cited in the following area(s).,665,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,10,BROADWAY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.727212,-73.995488,665 BROADWAY NYC
Violations were cited in the following area(s).,6870,Critical,CAFE ANGELIQUE,A,Cycle Inspection / Initial Inspection,10,BLEECKER STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,40.732915,-74.003976,6870 BLEECKER STREET NYC
Violations were cited in the following area(s).,6870,Not Critical,CAFE ANGELIQUE,A,Cycle Inspection / Initial Inspection,10,BLEECKER STREET,09C,Food contact surface not properly maintained.,40.732915,-74.003976,6870 BLEECKER STREET NYC
Violations were cited in the following area(s).,504,Critical,FORTY CARROTS,A,Cycle Inspection / Initial Inspection,7,BROADWAY,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.8484382,-73.9376339,504 BROADWAY NYC
Violations were cited in the following area(s).,504,Not Critical,FORTY CARROTS,A,Cycle Inspection / Initial Inspection,7,BROADWAY,10I,"Single service item reused, improperly stored, dispensed; not used when required.",40.8484382,-73.9376339,504 BROADWAY NYC
Violations were cited in the following area(s).,245,Critical,NEW YORK UNIVERSITY - LAW SCHOOL CAFE,A,Cycle Inspection / Initial Inspection,10,SULLIVAN STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.7301636,-73.9990387,245 SULLIVAN STREET NYC
Violations were cited in the following area(s).,245,Not Critical,NEW YORK UNIVERSITY - LAW SCHOOL CAFE,A,Cycle Inspection / Initial Inspection,10,SULLIVAN STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.7301636,-73.9990387,245 SULLIVAN STREET NYC
Violations were cited in the following area(s).,248,Critical,THINK COFFEE,A,Cycle Inspection / Initial Inspection,13,MERCER STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,248,Not Critical,THINK COFFEE,A,Cycle Inspection / Initial Inspection,13,MERCER STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,248,Not Critical,THINK COFFEE,A,Cycle Inspection / Initial Inspection,13,MERCER STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,248,Critical,THINK COFFEE,A,Cycle Inspection / Re-inspection,9,MERCER STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,248,Not Critical,THINK COFFEE,A,Cycle Inspection / Re-inspection,9,MERCER STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,6,Critical,LITTLE ATLAS CAFE,A,Cycle Inspection / Re-inspection,10,West 4th STREET,04A,Food Protection Certificate not held by supervisor of food operations.,40.7291879166667,-73.9960272916667,6 West 4th STREET NYC
Violations were cited in the following area(s).,6,Critical,LITTLE ATLAS CAFE,A,Cycle Inspection / Re-inspection,12,West 4th STREET,04A,Food Protection Certificate not held by supervisor of food operations.,40.7291879166667,-73.9960272916667,6 West 4th STREET NYC
Violations were cited in the following area(s).,6,Not Critical,LITTLE ATLAS CAFE,A,Cycle Inspection / Re-inspection,12,West 4th STREET,10I,"Single service item reused, improperly stored, dispensed; not used when required.",40.7291879166667,-73.9960272916667,6 West 4th STREET NYC
Violations were cited in the following area(s).,482,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,5,WEST BROADWAY,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7268478,-74.0001703,482 WEST BROADWAY NYC
Violations were cited in the following area(s).,482,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,5,WEST BROADWAY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7268478,-74.0001703,482 WEST BROADWAY NYC
Violations were cited in the following area(s).,228,Not Critical,GIMME COFFEE,A,Cycle Inspection / Initial Inspection,3,MOTT STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.72234745,-73.9949673965467,228 MOTT STREET NYC
Violations were cited in the following area(s).,1,Not Critical,THINK COFFEE,A,Cycle Inspection / Initial Inspection,2,BLEECKER STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.725448,-73.992374,1 BLEECKER STREET NYC
Violations were cited in the following area(s).,240,Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Not Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Not Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Critical,THIRD RAIL COFFEE,A,Cycle Inspection / Initial Inspection,7,SULLIVAN STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Not Critical,THIRD RAIL COFFEE,A,Cycle Inspection / Initial Inspection,7,SULLIVAN STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,52,Critical,MCNALLY JACKSON CAFE,A,Cycle Inspection / Initial Inspection,8,PRINCE STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7233821,-73.9959853,52 PRINCE STREET NYC
Violations were cited in the following area(s).,52,Not Critical,MCNALLY JACKSON CAFE,A,Cycle Inspection / Initial Inspection,8,PRINCE STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7233821,-73.9959853,52 PRINCE STREET NYC
Violations were cited in the following area(s).,52,Critical,MCNALLY JACKSON CAFE,A,Cycle Inspection / Re-inspection,9,PRINCE STREET,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",40.7233821,-73.9959853,52 PRINCE STREET NYC
Violations were cited in the following area(s).,52,Not Critical,MCNALLY JACKSON CAFE,A,Cycle Inspection / Re-inspection,9,PRINCE STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7233821,-73.9959853,52 PRINCE STREET NYC
Violations were cited in the following area(s).,270,Critical,LA COLOMBE,A,Cycle Inspection / Initial Inspection,7,LAFAYETTE STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7239788,-73.9964591,270 LAFAYETTE STREET NYC
Violations were cited in the following area(s).,270,Not Critical,LA COLOMBE,A,Cycle Inspection / Initial Inspection,7,LAFAYETTE STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7239788,-73.9964591,270 LAFAYETTE STREET NYC
Violations were cited in the following area(s).,142,Critical,RABBITS,A,Cycle Inspection / Initial Inspection,12,SULLIVAN STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.7270371,-74.0020466,142 SULLIVAN STREET NYC
Violations were cited in the following area(s).,142,Critical,RABBITS,A,Cycle Inspection / Initial Inspection,12,SULLIVAN STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7270371,-74.0020466,142 SULLIVAN STREET NYC
Violations were cited in the following area(s).,142,Not Critical,RABBITS,A,Cycle Inspection / Initial Inspection,12,SULLIVAN STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7270371,-74.0020466,142 SULLIVAN STREET NYC
